what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.tasks.ui",1477107601202
started,bundle,org.eclipse.mylyn.team.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.team.ui",1477107601202
started,bundle,org.eclipse.search,3.7.0.v20110505-0800,"org.eclipse.search",1477107601203
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1477107601204
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1477107601205
started,bundle,org.eclipse.team.cvs.ui,3.3.400.I20110510-0800,"org.eclipse.team.cvs.ui",1477107601206
started,bundle,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.ui",1477107601207
started,bundle,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui",1477107601208
started,bundle,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console",1477107601209
started,bundle,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.editors",1477107601210
started,bundle,org.eclipse.ui.forms,3.5.100.v20110425,"org.eclipse.ui.forms",1477107601211
started,bundle,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.ide",1477107601212
started,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1477107601213
started,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1477107601213
started,bundle,org.eclipse.ui.net,1.2.100.I20110511-0800,"org.eclipse.ui.net",1477107601213
started,bundle,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views",1477107601213
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1477107601214
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1477107601215
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1477107601215
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1477107601216
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1477107601216
started,bundle,org.eclipse.wb.discovery.core,1.0.0.r37x201106081733,"org.eclipse.wb.discovery.core",1477107601216
started,bundle,org.eclipse.wb.discovery.ui,1.0.0.r37x201106081733,"org.eclipse.wb.discovery.ui",1477107601217
os,sysinfo,,,"macosx",1477107601219
arch,sysinfo,,,"x86_64",1477107601219
ws,sysinfo,,,"cocoa",1477107601219
locale,sysinfo,,,"zh_CN",1477107601219
processors,sysinfo,,,"4",1477107601219
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1477107601219
java.runtime.version,sysinfo,,,"1.6.0_65-b14-468-11M4833",1477107601219
java.specification.name,sysinfo,,,"Java Platform API Specification",1477107601219
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1477107601219
java.specification.version,sysinfo,,,"1.6",1477107601219
java.vendor,sysinfo,,,"Apple Inc.",1477107601219
java.version,sysinfo,,,"1.6.0_65",1477107601219
java.vm.info,sysinfo,,,"mixed mode",1477107601219
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1477107601219
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1477107601219
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1477107601219
java.vm.specification.version,sysinfo,,,"1.0",1477107601219
java.vm.vendor,sysinfo,,,"Apple Inc.",1477107601219
java.vm.version,sysinfo,,,"20.65-b04-468",1477107601219
started,bundle,org.eclipse.m2e.usagedata,1.0.0.20110607-2117,"org.eclipse.m2e.usagedata",1477107601222
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1477107609705
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1477107613550
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1477107635575
started,bundle,org.eclipse.wst.xml.ui,1.1.200.v201105111835,"org.eclipse.wst.xml.ui",1477107641923
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1477107715483
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1477107715590
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1477107715742
started,bundle,org.eclipse.compare,3.5.200.I20110525-0800,"org.eclipse.compare",1477107715748
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.window.preferences",1477107715806
stopped,bundle,org.eclipse.m2e.logback.configuration,1.0.0.20110607-2117,"org.eclipse.m2e.logback.configuration",1477107715849
stopped,bundle,org.eclipse.m2e.discovery,1.0.0.20110607-2117,"org.eclipse.m2e.discovery",1477107715851
stopped,bundle,org.eclipse.m2e.refactoring,1.0.0.20110607-2117,"org.eclipse.m2e.refactoring",1477107715852
stopped,bundle,org.eclipse.m2e.editor,1.0.0.20110607-2117,"org.eclipse.m2e.editor",1477107715853
stopped,bundle,org.eclipse.m2e.editor.xml,1.0.0.20110607-2117,"org.eclipse.m2e.editor.xml",1477107715854
stopped,bundle,org.eclipse.m2e.jdt,1.0.0.20110607-2117,"org.eclipse.m2e.jdt",1477107715856
stopped,bundle,org.eclipse.m2e.launching,1.0.0.20110607-2117,"org.eclipse.m2e.launching",1477107715858
stopped,bundle,org.eclipse.m2e.usagedata,1.0.0.20110607-2117,"org.eclipse.m2e.usagedata",1477107715858
stopped,bundle,org.eclipse.ui.cheatsheets,3.4.100.v20110425,"org.eclipse.ui.cheatsheets",1477107715860
stopped,bundle,org.eclipse.help.ui,3.5.100.v20110425,"org.eclipse.help.ui",1477107715863
stopped,bundle,org.eclipse.help.webapp,3.6.0.v20110518,"org.eclipse.help.webapp",1477107715864
stopped,bundle,org.eclipse.epp.mpc.ui,1.1.0.I20110525-0742,"org.eclipse.epp.mpc.ui",1477107715864
stopped,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1477107715865
stopped,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1477107715865
stopped,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1477107715865
stopped,bundle,org.eclipse.help.base,3.6.0.v201106131736,"org.eclipse.help.base",1477107715868
stopped,bundle,org.eclipse.equinox.http.jetty,2.0.100.v20110502,"org.eclipse.equinox.http.jetty",1477107715869
stopped,bundle,org.eclipse.m2e.core.ui,1.0.0.20110607-2117,"org.eclipse.m2e.core.ui",1477107715877
stopped,bundle,org.eclipse.m2e.core,1.0.0.20110607-2117,"org.eclipse.m2e.core",1477107715879
stopped,bundle,org.eclipse.mylyn.ide.ant,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ant",1477107715881
